1 - Alquimista
2 - Sacerdote
3 - Compra y Venta
4 - Magos
5 - Clerigos
6 - Asesinos
7 - Bardos
8 - Druidas
9 - Paladines
10 - Guerreros
11 - Cazadores
12 - Trabajador
13 - (Libre NPC13)
14 - (Libre NPC14)
15 - (Libre NPC15)
16 - (Libre NPC16)
17 - (Libre NPC17)
18 - (Libre NPC18)
19 - (Libre NPC19)
20 - (Libre NPC20)
21 - (Libre NPC21)
22 - (Libre NPC22)
23 - (Libre NPC23)
24 - (Libre NPC24)
25 - (Libre NPC25)
26 - (Libre NPC26)
27 - (Libre NPC27)
28 - (Libre NPC28)
29 - (Libre NPC29)
30 - (Libre NPC30)
31 - (Libre NPC31)
32 - (Libre NPC32)
33 - (Libre NPC33)
34 - (Libre NPC34)
35 - (Libre NPC35)
36 - (Libre NPC36)
37 - (Libre NPC37)
38 - (Libre NPC38)
39 - (Libre NPC39)
40 - (Libre NPC40)
41 - (Libre NPC41)
42 - (Libre NPC42)
43 - (Libre NPC43)
44 - (Libre NPC44)
45 - (Libre NPC45)
46 - (Libre NPC46)
47 - (Libre NPC47)
48 - (Libre NPC48)
49 - (Libre NPC49)
50 - (Libre NPC50)
51 - (Libre NPC51)
52 - (Libre NPC52)
53 - (Libre NPC53)
54 - (Libre NPC54)
55 - (Libre NPC55)
56 - (Libre NPC56)
57 - (Libre NPC57)
58 - (Libre NPC58)
59 - (Libre NPC59)
60 - (Libre NPC60)
61 - (Libre NPC61)
62 - (Libre NPC62)
63 - (Libre NPC63)
64 - (Libre NPC64)
65 - (Libre NPC65)
66 - (Libre NPC66)
67 - (Libre NPC67)
68 - (Libre NPC68)
69 - (Libre NPC69)
70 - (Libre NPC70)
71 - (Libre NPC71)
72 - (Libre NPC72)
73 - (Libre NPC73)
74 - (Libre NPC74)
75 - (Libre NPC75)
76 - (Libre NPC76)
77 - (Libre NPC77)
78 - (Libre NPC78)
79 - (Libre NPC79)
80 - (Libre NPC80)
81 - (Libre NPC81)
82 - (Libre NPC82)
83 - (Libre NPC83)
84 - (Libre NPC84)
85 - (Libre NPC85)
86 - (Libre NPC86)
87 - (Libre NPC87)
88 - (Libre NPC88)
89 - (Libre NPC89)
90 - (Libre NPC90)
91 - (Libre NPC91)
92 - (Libre NPC92)
93 - (Libre NPC93)
94 - (Libre NPC94)
95 - (Libre NPC95)
96 - (Libre NPC96)
97 - (Libre NPC97)
98 - (Libre NPC98)
99 - (Libre NPC99)
100 - (Libre NPC100)

