27/02/2009 15:12:50 Slazher tira oro. Cercanos: Slazher,
05/03/2009 16:06:22 05/03/2009 Fx paso a nivel 41 gano HP: 4
06/08/2009 11:01:16 p.m. 06/08/2009 Hardoz paso a nivel 2 gano HP: 10
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 3 gano HP: 7
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 4 gano HP: 9
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 5 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 6 gano HP: 10
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 7 gano HP: 10
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 8 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 9 gano HP: 8
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 10 gano HP: 9
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 11 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 12 gano HP: 10
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 13 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 14 gano HP: 8
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 15 gano HP: 8
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 16 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 17 gano HP: 11
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 18 gano HP: 9
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 19 gano HP: 7
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 20 gano HP: 7
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 21 gano HP: 8
06/08/2009 11:01:23 p.m. 06/08/2009 Hardoz paso a nivel 22 gano HP: 7
04/01/2014 09:06:25 p.m. 04/01/2014 GIOSACA paso a nivel 2 gano HP: 6
04/01/2014 09:06:33 p.m. 04/01/2014 GIOSACA paso a nivel 3 gano HP: 10
04/01/2014 11:32:57 p.m. 04/01/2014 GIOSACA paso a nivel 4 gano HP: 8
10/01/2014 12:20:59 a.m. 10/01/2014 GIOSACA paso a nivel 5 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 6 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 7 gano HP: 10
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 8 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 9 gano HP: 6
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 10 gano HP: 6
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 11 gano HP: 6
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 12 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 13 gano HP: 7
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 14 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 15 gano HP: 6
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 16 gano HP: 6
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 17 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 18 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 19 gano HP: 9
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 20 gano HP: 8
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 21 gano HP: 10
10/01/2014 12:21:05 a.m. 10/01/2014 GIOSACA paso a nivel 22 gano HP: 8
